Timestep,Sector,Num CellSmutans,OccupiedSpace CellSmutans,Target CellSmutans,Num CellSmitis,OccupiedSpace CellSmitis,Target CellSmitis,Num Macromoleculeahl,OccupiedSpace Macromoleculeahl,Diffusion Rate Macromoleculeahl,Target Macromoleculeahl,EmptySpace Sector
0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
0,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
0,4,1,0.5235987755982988,1,0,0.0,0,2382,1.1883900978121445e-05,1.0,2022,4.064264340500722
0,5,0,0.0,0,0,0.0,0,1328,6.625449411815818e-06,1.0,1331,4.587868374550587
0,6,0,0.0,0,0,0.0,0,972,4.849350021298927e-06,1.0,975,4.587870150649978
0,7,0,0.0,0,0,0.0,0,318,1.5865157477089084e-06,1.0,332,4.587873413484251
10,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
10,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
10,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
10,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
10,4,1,0.5235987755982988,1,0,0.0,0,2022,1.0087845414677398e-05,1.0,1883,4.064266136556286
10,5,0,0.0,0,0,0.0,0,1331,6.640416541511185e-06,1.0,1335,4.587868359583458
10,6,0,0.0,0,0,0.0,0,975,4.864317150994295e-06,1.0,983,4.587870135682849
10,7,0,0.0,0,0,0.0,0,332,1.6563623529539545e-06,1.0,343,4.587873343637646
20,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
20,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
20,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
20,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
20,4,1,0.5235987755982988,1,0,0.0,0,1883,9.394368405458724e-06,1.0,1786,4.064266830033295
20,5,0,0.0,0,0,0.0,0,1335,6.660372714438341e-06,1.0,1348,4.587868339627285
20,6,0,0.0,0,0,0.0,0,983,4.904229496848607e-06,1.0,983,4.587870095770502
20,7,0,0.0,0,0,0.0,0,343,1.711241828503634e-06,1.0,353,4.587873288758171
30,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
30,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
30,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
30,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
30,4,1,0.5235987755982988,1,0,0.0,0,1786,8.910431211975189e-06,1.0,1709,4.064267313970489
30,5,0,0.0,0,0,0.0,0,1348,6.725230276451599e-06,1.0,1351,4.587868274769723
30,6,0,0.0,0,0,0.0,0,983,4.904229496848607e-06,1.0,965,4.587870095770502
30,7,0,0.0,0,0,0.0,0,353,1.761132260821524e-06,1.0,368,4.587873238867739
40,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
40,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
40,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
40,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
40,4,1,0.5235987755982988,1,0,0.0,0,1709,8.526274883127434e-06,1.0,1645,4.064267698126818
40,5,0,0.0,0,0,0.0,0,1351,6.740197406146966e-06,1.0,1346,4.587868259802593
40,6,0,0.0,0,0,0.0,0,965,4.814426718676404e-06,1.0,952,4.587870185573281
40,7,0,0.0,0,0,0.0,0,368,1.8359679092983596e-06,1.0,386,4.58787316403209
50,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
50,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
50,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
50,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
50,4,1,0.5235987755982988,1,0,0.0,0,1645,8.206976116292937e-06,1.0,1592,4.064268017425585
50,5,0,0.0,0,0,0.0,0,1346,6.715252189988021e-06,1.0,1345,4.58786828474781
50,6,0,0.0,0,0,0.0,0,952,4.749569156663147e-06,1.0,944,4.587870250430843
50,7,0,0.0,0,0,0.0,0,386,1.925770687470561e-06,1.0,396,4.587873074229312
60,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
60,1,0,0.0,0,1,2.1446605848506324,1,0,0.0,1.0,0,2.443214415149367
60,2,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
60,3,0,0.0,0,0,0.0,0,0,0.0,1.0,0,4.587875
60,4,1,0.5235987755982988,1,0,0.0,0,1592,7.94255682500812e-06,1.0,1546,4.064268281844876
